Nachname;Name;Oberthema;Thema;Fundstelle;Sitzung;Datum;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Gerichte;Entlastung. Gesetzentwurf: III. B.;Bd. 348, 78. Sitz. S. 2732C;78;1921-03-08;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Gerichtsverfassung;Frage der Sondergerichte;Bd. 347, 57. Sitz. S. 2133B;57;1921-01-26;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Geschlechtskrankheiten;Prostitution, Polizeiliche Reglementierung, Bordelle, Sittenkontrolle/ Salvarsan, Zweckmäßigkeit der Behandlung mit Salvarsan;Bd. 347, 57. Sitz. S. 2137D;57;1921-03-08;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Geschlechtskrankheiten;Bekämpfung. Gesetzentwurf: II. B./ Meldepflicht und Meldeanzeige/ Behandlung, Frage der Zulassung von Laien, Naturheilkundigen und der Kurierfreiheit überhaupt/ Prostitution. Polizeiliche Reglementierung, Bordelle, Sittenkontrolle;Bd. 360, 364. Sitz. S. 11328C;364;1923-06-13;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Handwerk;Zusammenfassung der Handwerksfragen in einer Abteilung beim Reichswirtschaftsministerium;Bd. 346, 41. Sitz. S. 1457B;41;1920-12-02;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Hausfrauen;Anerkennung ihrer Berufstätigkeit;Bd. 346, 41. Sitz. S. 1457A;41;1920-12-02;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Jugendwohlfahrt;Entwurf eines Reichsjugendwohlfahrtsgesetzes: II. B.;Bd. 355, 225. Sitz. S. 7786D;225;1922-06-13;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Jugendwohlfahrt;Entwurf eines Reichsjugendwohlfahrtsgesetzes: II. B.;Bd. 355, 226. Sitz. S. 7806D;226;1922-06-14;;
Lüders;Dr. rer. pol. Marie Elisabeth Lüders;Sonntagsruhe;Durchbrechung der Verordnung der Reichsregierung vom 5. Februar 1919 durch Verordnungen der Bayerischen Regierung. (Anfrage);Bd. 346, 49. Sitz. S. 1758C;49;1920-12-17;;
Matz;Dr. phil Elsa Matz;Beamte;Uneheliche Mutterschaft der weiblichen Beamten;Bd. 354, 204. Sitz. S. 6932C;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Dienstjahr, wirtschaftliches;Einführung für die weibliche Jugend;Bd. 348, 85. Sitz. S. 3000D;85;1921-03-15;;
Matz;Dr. phil Elsa Matz;Friedensvertrag von Versailles;Ablieferung von Milchkühen. (Anfrage);Bd. 345, 27. Sitz. S. 982A;27;1920-11-05;;
Matz;Dr. phil Elsa Matz;Hafer;Versorgung der Pferdehalter der Berliner Gemeinden. (Anfrage);Bd. 345, 27. Sitz. S. 977D;27;1920-11-05;;
Matz;Dr. phil Elsa Matz;Hochschule für Leibesübungen;Umwandlung in eine Reichsanstalt;Bd. 354, 204. Sitz. S. 6950A;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Jugendliche Personen;Reichsjugendwohlfahrtsgesetz, Vorlegung. Interpellation Frau Neuhaus (Westfalen);Bd. 347, 58. Sitz. S. 2177D;58;1921-01-27;;
Matz;Dr. phil Elsa Matz;Jugendliche Personen;Körperliche Ertüchtigung, Jugendwandern usw., Forderung;Bd. 354, 204. Sitz. S. 6949D;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Jugendverbände;Ausschuß deutscher Jugendverbände, Zusammenschluß;Bd. 358, 303. Sitz. S. 9769D;303;1923-02-20;;
Matz;Dr. phil Elsa Matz;Kleinrentner;Fürsorge, Richtlinien des Reichsarbeitsministeriums/ Gesetzliche Regelung der Fürsorge, Zuziehung des Deutschen Rentnerbunds/ Steuererleichterungen;Bd. 355, 214. Sitz. S. 7408B;214;1922-05-19;;
Matz;Dr. phil Elsa Matz;Kleinrentner;Kleinrentnerfürsorge, Gesetzentwurf: II. B.;Bd. 358, 294. Sitz. S. 9569A;294;1923-01-31;;
Matz;Dr. phil Elsa Matz;Lichtspielwesen;Herstellung guter Filme für Schul- und Bildungszwecke/ Reichsfilmstelle, Ausbau;Bd. 348, 85. Sitz. S. 2999C;85;1921-03-15;;
Matz;Dr. phil Elsa Matz;Lichtspielwesen;Reichsfilmstelle, Ausbau/ Nachprüfung des Gesetzes vom 12. Februar 1920/ Verbot des Films »Die schwarze Schmach«;Bd. 354, 204. Sitz. S. 6949A;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Liebesgaben;Behandlung ausländischer Liebesgabensendungen durch den Reichskommissar für Aus- und Einfuhrbewilligung. (Anfrage);Bd. 346, 39. Sitz. S. 1359C;39;1920-11-30;;
Matz;Dr. phil Elsa Matz;Reichshaushalt;Reichshaushaltsplan für 1920. Reichsministerium des Innern: II. B.;Bd. 348, 85. Sitz. S. 2998D;85;1921-03-15;;
Matz;Dr. phil Elsa Matz;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6947A;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Reichshaushalt;Reichshaushaltsplan für 1922. Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6932B;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Reichshaushalt;Reichsarbeitsministerium: II. B.;Bd. 355, 214. Sitz. S. 7408A;214;1922-05-19;;
Matz;Dr. phil Elsa Matz;Reichshaushalt;Reichshaushaltsplan für 1923. Reichsministerium des Innern: II. B.;Bd. 358, 303. Sitz. S. 9767D;303;1923-02-20;;
Matz;Dr. phil Elsa Matz;Reichsministerium des Innern;Einheitliche Zusammenfassung aller Schul-, Bildungs- und allgemeinen Kulturfragen in der Abteilung III;Bd. 354, 204. Sitz. S. 6947A;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Schulen;Mädchenschulen, Behandlung auf der Reichsschulkonferenz. (Anfrage);Bd. 345, 30. Sitz. S. 1111B;30;1920-11-19;;
Matz;Dr. phil Elsa Matz;Schulen;Einheitliche Benennung gleicher Schulgattungen und gleicher Lehrkräfte. (Anfrage)/ Höhere Schulen, Anerkennung der Schulzeugnisse aller deutschen Länder. (Anfrage);Bd. 347, 56. Sitz. S. 2088B;56;1921-01-25;;
Matz;Dr. phil Elsa Matz;Schulen;Einführung in den Friedensvertrag von Versailles/ Privatschulen;Bd. 348, 85. Sitz. S. 2998D;85;1921-03-15;;
Matz;Dr. phil Elsa Matz;Schulen;Hauswirtschaftliche und hausmütterliche Ausbildung der Mädchen/ Einführung in den Friedensvertrag von Versailles;Bd. 354, 204. Sitz. S. 6948C;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Schulen;Vereinheitlichung des Schulwesens/ Aufbauschule, Einführung der deutschen Oberschule und Aufbauschule, Denkschrift über die Maßnahmen/ Berufsberatung, Ausbau/ Hauswirtschaftliche und hausmütterliche Ausbildung der Mädchen/Berücksichtigung des Grenz- und Auslandsdeutschtums im Unterricht;Bd. 358, 303. Sitz. S. 9768C;303;1923-02-20;;
Matz;Dr. phil Elsa Matz;Spielplatzgesetz;Vorlegung;Bd. 354, 204. Sitz. S. 6949D;204;1922-04-06;;
Matz;Dr. phil Elsa Matz;Wohnungswesen;Erhebung einer Abgabe zur Förderung des Wohnungsbaues. Gesetzentwurf: II. B.;Bd. 350, 119. Sitz. S. 4051B;119;1921-06-21;;
Matz;Dr. phil Elsa Matz;Zucker;Behebung der Zuckernot, freie Bewirtschaftung. (Anfrage);Bd. 345, 30. Sitz. S. 1106D;30;1920-11-19;;
Mende;Clara Mende;Beamte;Uneheliche Mutterschaft der weiblichen Beamten;Bd. 354, 204. Sitz. S. 6932C;204;1922-04-06;;
Mende;Clara Mende;Hafer;Versorgung der Pferdehalter der Berliner Gemeinden. (Anfrage);Bd. 345, 27. Sitz. S. 977D;345;1920-11-05;;
Mende;Clara Mende;Liebesgaben;Behandlung ausländischer Liebesgabensendungen durch den Reichskommissar für Aus- und Einfuhrbewilligung. (Anfrage);Bd. 346, 39. Sitz. S. 1359C;346;1920-11-30;;
Mende;Clara Mende;Reichshaushaltsplan für 1922;Reichsministerium des Innern: II. B.;Bd. 354, 204. Sitz. S. 6932B;204;1922-04-06;;
Mueller-Otfried;Paula Mueller-Otfried;Alkoholismus;Vorlegung eines Gesetzes über Alkoholmißbrauch. (Anfrage);Bd. 357, 276. Sitz. S. 9211D;276;1922-10-05;;
Mueller-Otfried;Paula Mueller-Otfried;Beamte, weibliche;Uneheliche Mutterschaft, Disziplinierung;Bd. 354, 204. Sitz. S. 6924D;204;1922-04-06;;
Mueller-Otfried;Paula Mueller-Otfried;Beamte, weibliche;Abfindung beim Ausscheiden aus dem Postdienst wegen Verheiratung;Bd. 354, 211. Sitz. S. 7274D;211;1922-05-16;;
Mueller-Otfried;Paula Mueller-Otfried;Beamte, weibliche;Abfindung beim Ausscheiden aus dem Postdienst wegen Verheiratung;Bd. 360, 355. Sitz. S. 11086A;355;1923-05-15;;
